date,open,high,low,close,volume
03/07/07,21.4403,21.7534,21.4367,21.6094,35202600
05/07/07,21.631,21.7534,21.4727,21.5878,47838500
06/07/07,21.5302,21.6238,21.3503,21.5734,57541000
09/07/07,21.4943,21.559,21.4583,21.5015,33831400
10/07/07,21.3791,21.5878,21.0048,21.1127,66013500
11/07/07,21.048,21.3431,21.0264,21.2279,48017000
12/07/07,21.2783,21.6742,21.1919,21.6454,54302400
13/07/07,21.5518,21.6094,21.3503,21.4655,42173000
16/07/07,21.4223,21.7678,21.3935,21.6166,48023200
17/07/07,21.6094,22.2285,21.6022,22.1564,77539600
18/07/07,21.9621,22.2933,21.9549,22.2573,64414400
19/07/07,22.3509,22.9195,22.2645,22.682,121159300
20/07/07,22.4228,22.4588,22.1637,22.43,98292600
23/07/07,22.574,22.6892,22.4012,22.4516,48910600
24/07/07,22.3221,22.6604,22.1061,22.1709,59729300
25/07/07,22.3077,22.5308,21.8614,22.1061,54950100
26/07/07,21.7678,21.9765,21.2423,21.5806,87025300
27/07/07,21.5446,21.595,21.1343,21.156,69214600
30/07/07,21.1667,21.2279,20.8392,21.1631,67499600
31/07/07,21.3863,21.3906,20.8608,20.868,66554000
01/08/07,20.8536,21.2711,20.7456,21.0911,80006300
02/08/07,21.012,21.4439,20.8896,21.2495,47938300
03/08/07,21.1991,21.4367,20.8032,20.8465,61535500
06/08/07,20.9292,21.2639,20.6952,21.2639,59530500
07/08/07,21.1127,21.4439,20.9112,21.2711,49163000
08/08/07,21.3935,21.6022,21.0264,21.595,52898600
09/08/07,21.3359,21.667,20.8176,21.0911,72964500
10/08/07,20.8032,20.9112,20.3425,20.6664,76576200
13/08/07,20.832,20.868,20.4721,20.6089,55492300
14/08/07,20.7829,20.8696,20.3711,20.4217,42944100
15/08/07,20.3278,20.9418,20.2628,20.2989,48117700
16/08/07,20.14,20.4795,19.8727,20.0894,81447400
17/08/07,20.2917,20.4073,20.0966,20.4073,76747700
20/08/07,20.3567,20.5807,20.2844,20.4145,49952000
21/08/07,20.2989,20.4578,20.1327,20.2772,50786200
22/08/07,20.4217,20.4578,20.2339,20.3856,44763500
23/08/07,20.4434,20.465,20.2989,20.4434,33886600
24/08/07,20.3784,20.8335,20.2772,20.8118,45158900
27/08/07,20.6673,20.7829,20.5156,20.5806,32789500
28/08/07,20.4289,20.5806,20.1616,20.1761,43924400
29/08/07,20.2844,20.6673,20.0966,20.6529,45753700
30/08/07,20.5301,20.8985,20.4578,20.5517,33690700
31/08/07,20.7323,20.8912,20.4867,20.754,42511900
04/09/07,20.5878,21.0213,20.5734,20.8118,45689600
05/09/07,20.6962,20.754,20.5301,20.5734,47669800
06/09/07,20.6601,20.9563,20.624,20.884,45430800
07/09/07,20.6745,20.8262,20.4578,20.5445,52160900
10/09/07,20.7107,20.7684,20.5228,20.5734,37247600
11/09/07,20.6818,20.9129,20.6456,20.8985,34380800
12/09/07,20.8118,21.0718,20.8046,20.8985,42364700
13/09/07,20.9924,21.1369,20.9201,21.0646,35288600
14/09/07,20.8985,21.0285,20.8624,20.9779,33496600
17/09/07,20.7973,20.8624,20.6745,20.7504,39536500
18/09/07,20.7323,20.9238,20.4217,20.8985,77462400
19/09/07,20.8551,20.884,20.4434,20.7107,94242200
20/09/07,20.5734,20.6456,20.4723,20.5301,67168900
21/09/07,20.7323,20.8118,20.5445,20.6961,135636100
24/09/07,20.8118,21.3897,20.8046,21.0068,104459800
25/09/07,21.0502,21.3536,21.0285,21.3535,75621000
26/09/07,21.4403,21.5631,21.2958,21.3102,60337000
27/09/07,21.433,21.4692,21.2669,21.303,43407100
28/09/07,21.303,21.4475,21.1152,21.2813,45819100
01/10/07,21.2813,21.5197,21.2452,21.5053,43875100
02/10/07,21.4547,21.5631,21.3608,21.4547,33700900
